state,title,text,link
Alabama,ACHE Two-Year College Academic Scholarship Program,"The Alabama Commission on Higher Education (ACHE) is offering the Two-Year College Academic Scholarship Program. Awards are based on demonstrated academic merit as determined by the institution scholarship committee. Awards are not based on financial need. Students must be accepted for enrollment at public two-year post-secondary educational institutions in Alabama. Awards may be renewed if students demonstrate academic excellence. Priorities are given to in-state residents. Awards may be renewed if students demonstrate academic excellence. Priorities are given to in-state residents. Contact the financial aid office at any public two-year post-secondary educational institution in Alabama to apply. For more information, or to apply, please visit the scholarship provider’s website. For more information, or to apply, please visit the scholarship provider’s website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ache-two-year-college-academic-scholarship-program
Alabama,AHB Foundation Scholarship,"The Alabama Home Builders Foundation scholarship was founded in 1995 with a mission to help fund deserving students who are interested in pursuing an education in the residential building trades in the state of Alabama. Applicant must be a resident of Alabama, must be enrolling in, or attending, an accredited junior college, technical school or university in Alabama, and must be enrolled in a residential construction-related curriculum. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/ahb-foundation-scholarship
Alabama,Alabama Scholarships for Dependents of Blind Parents,"To be eligible for the Alabama Scholarships for Dependents of Blind Parents, an applicant must be an Alabama resident for at least five years; be from a family in which the head of household is blind and whose family income is at or below 1.3 times the current poverty income level; and, begin attending an Alabama public college, university or trade school within 2 years after high school graduation but before the age of 23. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/alabama-scholarships-for-dependents-of-blind-parents
Alabama,Alys Robinson Stephens Performing Arts Scholarship,"To be eligible for the Alys Robinson Stephens Performing Arts Scholarship, applicants must be high school seniors/graduates and accepted to UAB. There are no applications for this scholarship: via audition and testing, the student must prove to be of substantial talent and show promise for continued excellence in music. There will be a strong focus on incoming freshmen; however, current UAB students and transfer students are eligible to apply. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/alys-robinson-stephens-performing-arts-scholarship
Alabama,American Legion Legacy Scholarship Program,"The American Legion Legacy Scholarship is a needs-based scholarship designed to fulfill a financial gap remaining after all federal and state educational grants/scholarships available to an eligible applicant have been utilized. Applicants must be children of U.S. military members who died while on active duty on or after Sept. 11, 2001 or children of post-9/11 veterans having been assigned a combined disability rating of 50 percent or greater by the Department of Veterans Affairs. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/american-legion-legacy-scholarship-program
Alabama,ARRL Charles Clarke Cordle Memorial Scholarship,"The ARRL Charles Clarke Cordle Memorial Scholarship is an award for amateur radio operators. Applicants must possess an active Amateur Radio License Class; be a resident of Georgia or Alabama, and have a minimum 2.5 GPA. Students must also be enrolled at an accredited institution in Georgia or Alabama. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/arrl-charles-clarke-cordle-memorial-scholarship
Alabama,"BECA, Inc. Edna R. Anthony Memorial Scholarship","The Women of BECA, Inc. provide scholarships in the remembrance of Edna R. Anthony. Candidates must be enrolled as a high school senior and must maintain a grade point average of 2.5 or higher. Applicants must also must attend a Historically Black College or University and declare a major in Criminal Justice, Journalism or Nursing or Healthcare. Winners are announced in May. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/beca-inc-edna-r-anthony-memorial-scholarship
Alabama,Bridging the Dream Scholarship Program for High School Seniors,"The Thurgood Marshall College Fund (TMCF) and The Sallie Mae Fund are proud to offer financial assistance to outstanding students an accredited post-secondary institutions. Twenty five students completing a two-year, four-year, or trade/vocational certificate/certification program will be selected to receive a scholarship up to $10,000.00 for the upcoming academic school year.
ADVERTISEMENT

Applicants must be current high school seniors who plan to enroll as a full-time student in the following year at an accredited post-secondary institution or continuous education program, be a US citizen or permanent resident, be Pell Grant-eligible, and be a diverse candidate or be from an underserved community. Applicants cannot be residents of Utah or be attending a Utah post-secondary institution. For more information or to apply, please visit the scholarship provider's website.",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/bridging-the-dream-scholarship-program-for-high-school-seniors
Alabama,CBC Spouses Performing Arts Scholarship,"CBC Spouses Performing Arts Scholarship was established to ensure that African-American or Black students pursuing a degree in the performing arts receive financial assistance. Performing arts includes theater, drama, comedy, music, dance, opera, marching bands, etc. Selected applicants will be constituents of a CBC member’s district. Qualified applicants must be currently enrolled full-time in an accredited academic institution, and have a minimum 2.5 GPA on a 4.0 scale. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cbc-spouses-performing-arts-scholarship
Alabama,CBC Spouses Visual Arts Scholarship,"The CBC Spouses Visual Arts Scholarship was established to provide financial assistance to African-American or Black students who are pursuing a degree in the visual arts. Visual arts include architecture, ceramics, drawing, fashion, graphic design, illustration, interior design, painting, photography, sketching, video production, etc. Selected applicants will be constituents of a CBC member’s district. Qualified applicants must be currently enrolled full-time in an accredited academic institution, and have a minimum 2.5 GPA on a 4.0 scale. For more information or to apply, please visit the scholarship provider's website.
ADVERTISEMENT",https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cbc-spouses-visual-arts-scholarship
